pile,hyp,comp,model,cype,diff
P14,TB3,Qy,0.34,0.3,0.04
P14,TB3,T,0.0,0.0,0.0
P15,PP,N,113.16,112.3,0.86
P15,PP,Mx,-1.61,-0.5,-1.11
P15,PP,My,-3.88,-3.9,0.02
P15,PP,Qx,-0.67,-0.2,-0.47
P15,PP,Qy,-1.61,-1.6,-0.01
P15,PP,T,0.0,0.0,0.0
P15,CM,N,28.14,27.5,0.64
P15,CM,Mx,-0.67,-0.1,-0.57
P15,CM,My,-1.44,-1.5,0.06
P15,CM,Qx,-0.28,-0.1,-0.18
P15,CM,Qy,-0.6,-0.6,-0.0
P15,CM,T,0.0,0.0,0.0
P15,Qa,N,241.18,235.7,5.48
P15,Qa,Mx,-5.74,-1.2,-4.54
P15,Qa,My,-12.38,-13.0,0.62
P15,Qa,Qx,-2.38,-0.5,-1.88
P15,Qa,Qy,-5.15,-5.4,0.25
P15,Qa,T,0.0,0.0,0.0
P15,TB1,N,139.06,138.3,0.76
P15,TB1,Mx,1.51,0.8,0.71
P15,TB1,My,-162.28,-162.8,0.52
P15,TB1,Qx,0.43,0.2,0.23
P15,TB1,Qy,-47.41,-47.5,0.09
P15,TB1,T,0.76,0.1,0.66
P15,TB2,N,0.56,0.6,-0.04
P15,TB2,Mx,-0.0,-0.1,0.1
P15,TB2,My,-0.46,-0.5,0.04
P15,TB2,Qx,-0.0,-0.0,-0.0
P15,TB2,Qy,-0.13,-0.1,-0.03
P15,TB2,T,-0.0,0.0,-0.0
P15,TB3,N,-0.56,-0.6,0.04
P15,TB3,Mx,0.0,0.1,-0.1
P15,TB3,My,0.46,0.5,-0.04
P15,TB3,Qx,0.0,0.0,0.0
P15,TB3,Qy,0.13,0.1,0.03
P15,TB3,T,0.0,0.0,0.0
P16,PP,N,77.57,75.2,2.37
P16,PP,Mx,4.8,3.5,1.3
P16,PP,My,-1.87,-1.9,0.03
P16,PP,Qx,2.02,1.5,0.52
P16,PP,Qy,-0.77,-0.8,0.03
P16,PP,T,0.01,0.0,0.01
P16,CM,N,12.56,12.6,-0.04
P16,CM,Mx,1.53,1.1,0.43
P16,CM,My,-0.51,-0.5,-0.01
P16,CM,Qx,0.64,0.5,0.14
P16,CM,Qy,-0.21,-0.2,-0.01
P16,CM,T,0.0,0.0,0.0
P16,Qa,N,107.62,107.6,0.02
P16,Qa,Mx,13.12,9.4,3.72
P16,Qa,My,-4.37,-4.6,0.23
P16,Qa,Qx,5.52,4.0,1.52
P16,Qa,Qy,-1.8,-1.9,0.1
P16,Qa,T,0.03,0.0,0.03
P16,TB1,N,114.11,116.5,-2.39
P16,TB1,Mx,1.53,-3.5,5.03
P16,TB1,My,-156.04,-159.5,3.46
P16,TB1,Qx,0.44,-1.6,2.04
P16,TB1,Qy,-45.56,-46.5,0.94
P16,TB1,T,0.77,0.1,0.67
P16,TB2,N,58.33,58.1,0.23
P16,TB2,Mx,-0.07,-0.7,0.63
P16,TB2,My,0.92,0.9,0.02
P16,TB2,Qx,-0.03,-0.3,0.27
P16,TB2,Qy,0.45,0.5,-0.05
P16,TB2,T,-0.0,0.0,-0.0
P16,TB3,N,-58.33,-58.1,-0.23
P16,TB3,Mx,0.07,0.7,-0.63
P16,TB3,My,-0.92,-0.9,-0.02
P16,TB3,Qx,0.03,0.3,-0.27
P16,TB3,Qy,-0.45,-0.5,0.05
P16,TB3,T,0.0,0.0,0.0
P17,PP,N,105.74,105.2,0.54
P17,PP,Mx,-1.59,-0.6,-0.99
P17,PP,My,3.85,3.9,-0.05
P17,PP,Qx,-0.66,-0.3,-0.36
P17,PP,Qy,1.62,1.7,-0.08
P17,PP,T,-0.0,0.0,-0.0
P17,CM,N,25.85,25.3,0.55
P17,CM,Mx,-0.66,-0.2,-0.46
P17,CM,My,1.44,1.5,-0.06
P17,CM,Qx,-0.27,-0.1,-0.17
P17,CM,Qy,0.61,0.6,0.01
P17,CM,T,-0.0,0.0,-0.0
P17,Qa,N,221.56,216.5,5.06
P17,Qa,Mx,-5.67,-1.7,-3.97
P17,Qa,My,12.33,12.9,-0.57
P17,Qa,Qx,-2.36,-0.7,-1.66
P17,Qa,Qy,5.19,5.5,-0.31
P17,Qa,T,-0.0,0.0,-0.0
P17,TB1,N,-139.51,-138.5,-1.01
P17,TB1,Mx,-1.62,-1.1,-0.52
P17,TB1,My,-162.39,-162.9,0.51
P17,TB1,Qx,-0.47,-0.4,-0.07
P17,TB1,Qy,-47.46,-47.5,0.04
P17,TB1,T,0.76,0.1,0.66
P17,TB2,N,-0.46,-0.4,-0.06
P17,TB2,Mx,-0.0,-0.0,-0.0
P17,TB2,My,-0.51,-0.5,-0.01
P17,TB2,Qx,-0.0,-0.0,-0.0
P17,TB2,Qy,-0.15,-0.2,0.05
P17,TB2,T,-0.0,0.0,-0.0
P17,TB3,N,0.46,0.4,0.06
P17,TB3,Mx,0.0,0.0,0.0
P17,TB3,My,0.51,0.5,0.01
P17,TB3,Qx,0.0,0.0,0.0
P17,TB3,Qy,0.15,0.2,-0.05
P17,TB3,T,0.0,0.0,0.0
P18,PP,N,73.12,71.0,2.12
P18,PP,Mx,4.74,4.3,0.44
P18,PP,My,1.75,1.8,-0.05
P18,PP,Qx,2.0,1.8,0.2
P18,PP,Qy,0.75,0.8,-0.05
P18,PP,T,-0.01,0.0,-0.01
P18,CM,N,11.46,11.3,0.16
P18,CM,Mx,1.5,1.3,0.2
P18,CM,My,0.48,0.5,-0.02
P18,CM,Qx,0.63,0.5,0.13
P18,CM,Qy,0.2,0.2,0.0
P18,CM,T,-0.0,0.0,-0.0
P18,Qa,N,98.22,96.7,1.52
P18,Qa,Mx,12.83,11.1,1.73
P18,Qa,My,4.09,4.3,-0.21
P18,Qa,Qx,5.4,4.7,0.7
P18,Qa,Qy,1.74,1.8,-0.06
P18,Qa,T,-0.03,0.0,-0.03
P18,TB1,N,-130.99,-133.7,2.71
P18,TB1,Mx,-1.57,3.0,-4.57
P18,TB1,My,-159.32,-162.8,3.48
P18,TB1,Qx,-0.45,1.3,-1.75
P18,TB1,Qy,-46.95,-47.9,0.95
P18,TB1,T,0.77,0.1,0.67
P18,TB2,N,-5.39,-5.3,-0.09
P18,TB2,Mx,-0.03,0.2,-0.23
P18,TB2,My,-0.85,-0.8,-0.05
P18,TB2,Qx,-0.01,0.1,-0.11
P18,TB2,Qy,-0.29,-0.3,0.01
P18,TB2,T,-0.0,0.0,-0.0
P18,TB3,N,5.39,5.3,0.09
P18,TB3,Mx,0.03,-0.2,0.23
P18,TB3,My,0.85,0.8,0.05
P18,TB3,Qx,0.01,-0.1,0.11
P18,TB3,Qy,0.29,0.3,-0.01
P18,TB3,T,0.0,0.0,0.0
