pile,hyp,comp,model,cype,diff
P17,PP,Qx,-0.65,-0.3,-0.35
P17,PP,Qy,1.64,1.7,-0.06
P17,PP,T,0.0,0.0,0.0
P17,CM,N,25.83,25.3,0.53
P17,CM,Mx,1.17,0.4,0.77
P17,CM,My,-2.64,-2.8,0.16
P17,CM,Qx,-0.27,-0.1,-0.17
P17,CM,Qy,0.61,0.6,0.01
P17,CM,T,0.0,0.0,0.0
P17,Qa,N,221.41,216.5,4.91
P17,Qa,Mx,10.06,3.0,7.06
P17,Qa,My,-22.62,-23.6,0.98
P17,Qa,Qx,-2.34,-0.7,-1.64
P17,Qa,Qy,5.23,5.5,-0.27
P17,Qa,T,0.01,0.0,0.01
P17,TB1,N,-139.63,-138.5,-1.13
P17,TB1,Mx,1.04,1.4,-0.36
P17,TB1,My,155.75,155.5,0.25
P17,TB1,Qx,-0.32,-0.4,0.08
P17,TB1,Qy,-47.51,-47.5,-0.01
P17,TB1,T,0.47,0.1,0.37
P17,TB2,N,-0.46,-0.4,-0.06
P17,TB2,Mx,0.02,0.0,0.02
P17,TB2,My,0.5,0.5,0.0
P17,TB2,Qx,-0.0,-0.0,-0.0
P17,TB2,Qy,-0.15,-0.2,0.05
P17,TB2,T,-0.0,0.0,-0.0
P17,TB3,N,0.46,0.4,0.06
P17,TB3,Mx,-0.02,-0.0,-0.02
P17,TB3,My,-0.5,-0.5,-0.0
P17,TB3,Qx,0.0,0.0,0.0
P17,TB3,Qy,0.15,0.2,-0.05
P17,TB3,T,0.0,0.0,0.0
P18,PP,N,48.89,44.7,4.19
P18,PP,Mx,-8.53,-7.8,-0.73
P18,PP,My,-3.28,-3.3,0.02
P18,PP,Qx,1.98,1.8,0.18
P18,PP,Qy,0.75,0.8,-0.05
P18,PP,T,-0.0,0.0,-0.0
P18,CM,N,11.48,11.3,0.18
P18,CM,Mx,-2.65,-2.3,-0.35
P18,CM,My,-0.89,-0.9,0.01
P18,CM,Qx,0.62,0.5,0.12
P18,CM,Qy,0.21,0.2,0.01
P18,CM,T,-0.0,0.0,-0.0
P18,Qa,N,98.39,96.7,1.69
P18,Qa,Mx,-22.73,-20.1,-2.63
P18,Qa,My,-7.64,-8.0,0.36
P18,Qa,Qx,5.27,4.7,0.57
P18,Qa,Qy,1.76,1.8,-0.04
P18,Qa,T,-0.01,0.0,-0.01
P18,TB1,N,-132.39,-133.7,1.31
P18,TB1,Mx,0.97,-6.0,6.97
P18,TB1,My,157.35,158.0,-0.65
P18,TB1,Qx,-0.3,1.3,-1.6
P18,TB1,Qy,-47.59,-47.9,0.31
P18,TB1,T,0.5,0.1,0.4
P18,TB2,N,-5.38,-5.3,-0.08
P18,TB2,Mx,0.05,-0.3,0.35
P18,TB2,My,1.08,1.0,0.08
P18,TB2,Qx,-0.01,0.1,-0.11
P18,TB2,Qy,-0.29,-0.3,0.01
P18,TB2,T,-0.0,0.0,-0.0
P18,TB3,N,5.38,5.3,0.08
P18,TB3,Mx,-0.05,0.3,-0.35
P18,TB3,My,-1.08,-1.0,-0.08
P18,TB3,Qx,0.01,-0.1,0.11
P18,TB3,Qy,0.29,0.3,-0.01
P18,TB3,T,0.0,0.0,0.0
